"Professor","Class_Code","Class_Name","Dept","Dept.Type","Overall_Rating","Easiness","Clarity","Workload","Helpfulness","Average_A_Plus","Average_A","Average_A_Minus","Average_B_Plus","Average_B","Average_B_Minus","Average_C_Plus","Average_C","Average_C_Minus","Average_D_Plus","Average_D","Average_D_Minus","Average_F","Avg_GPA","Review","Review.Quarter","Reviewer.Grade"
"William M Gelbart","CHEM 20AH","Chemical Structure (Honors)","CHEM","stem",4.6,2.4,4.2,2.5,4.8,0.2068,0.1946,0.1672,0.1416,0.18,0.0608,0.0096,0.0266,0.0096,0,0.0034,0,0,3.49068,"I took this class during the COVID-19 pandemic in an online format.-As you will see from other reviews, regardless of the difficulty of this class, Professor Gelbart is the reason to take this class. He is extremely responsive to questions, flexible about his office hour times, and truly cares about student learning. During the pandemic learning format, he was willing to drop quizzes entirely from the grading scale and give more points to the homework sections of the grades, and allow us to choose between 1 and 2 midterms as a class. You will not have a professor who is more willing to work with you for the normal CHEM 20A route.-CHEM 20AH as a class itself is quite difficult and definitely brings more to the table than other classes. If you are not well versed in math (up to at least multivariable calculus) and physics (you need to understand vectors and energy), do NOT take this class. While certain classes are listed as corequisites, if you have not taken the relevant math/physics classes, you will have a very hard time. The material is extremely calculation focused, and much time is spent proving concepts numerically that would otherwise just be expected to be memorized in CHEM 20A.-The textbook is quite helpful in helping to understand certain parts of the lecture that weren't as clear, but is certainly not mandatory. Homework takes about 3-6 hours per week, depending on how you feel about the material and math. This does not include studying time and supplemental practice, which you should do a lot of. Discussions are optional but highly recommended; Derek was an excellent TA who covered everything Gelbart didn't get to in lectures. Lectures themselves are also posted on CCLE, including notes, which are very helpful as well.-The midterm and final were both available for 24 hours, though once it started you only had 3 hours to do it. Both time limits felt quite generous, though a tip is to be VERY careful on steps requiring lots of simplification and algebra, as if you have to redo those it will eat up your time. Quizzes were completely dropped and optional due to the pandemic, which was very accomodating. The homework and practice problems provided were extremely similar to the tests, i.e. tests were very fair and of a reasonable difficulty.-Overall, there is practically no reason not to take this class if you need it for a major requirement, unless you are not well-versed in the mentioned math/physics concepts. Even if you're not in the honors college, I would recommend taking CHEM 20AH with Gelbart. If you are in the honors college, well, you found the class to take for your credits! If you look at the grade distribution, despite the difficulty of the class, Gelbart is extremely generous in grading/curving. You'll be much less stressed in this class than others.","Fall 2020","A+"
"Yung-Ya Lin","CHEM 20AH","Chemical Structure (Honors)","CHEM","stem",4.9,1.7,4.5,1.3,4.8,0.233,0.372,0.279,0.047,0.023,0.023,0,0,0,0,0,0,0.023,3.7385,"Professor Lin's workload is very heavy, as he requires you to submit ""previews"" before every (mandatory) lecture/discussion (these two are combined into one, the TAs don't do much except during their own office hours, since Professor Lin pretty much takes over discussion sections) as well as one problem set per week. However, taking the time to really master his previews and problems sets helps out a lot in studying for his two midterms and the final (or self evaluations, as he likes to call them). If you can do the hardest problems on the homework, then the exams shouldn't be any more difficult.","Fall 2016","A"
"Benjamin J Schwartz","CHEM 20AH","Chemical Structure (Honors)","CHEM","stem",4.1,1.4,4.1,2.2,4.3,0.029,0.179,0.075,0.1975,0.1345,0.075,0.1305,0.0555,0.0555,0.013,0.0425,0,0.013,2.93215,"Overall, I'm incredibly glad that I took this class in my first quarter at UCLA. The small class setting encourages a lot of collaboration and I definitely made a lot of friends that I might not have sitting in a large lecture hall. Professor Schwartz is incredibly kind and engaging and will do a lot for students especially if you reach out. Near the end of the quarter, we constantly joked around with the TA and professor and it never really felt like I was just being lectured at but really part of the class.","Fall 2019","A-"
"Shuming Chen","CHEM 30A","Organic Chemistry I: Structure and Reactivity","CHEM","stem",5,2,5,3,5,0.14,0.189,0.079,0.162,0.167,0.061,0.07,0.044,0.013,0.022,0.009,0.004,0.039,3.1201,"Shuming consistently goes above and beyond for her students. I haven't had a single teacher or professor from elementary, middle, high school, or college as dedicated as her to teaching students. Her class is extremely tough-don't get me wrong, but she prepares students well for her exams.The homework is more-or-less free points, and it's very similar to what is on exams. She gives two practice exams which are fairly representative, along with additional problem sets. You can also get up to 2% extra credit, but you'll need it. Again, the exams are really hard.Most importantly, Dr. Chen herself does weekly review sessions in the evening, which contain even more practice and are highly useful. Her lectures are engaging, and very clear and useful.However, only buy the modeling kit-you get to use that on exams. Otherwise, the book is practically useless; just pirate it as you won't read much from it.Looking back after having taken Chem 30B with Merlic, her class really does give students the fundamentals to succeed in future courses. Her tests were definitely hard; I'd say that her synthesis problems were even harder than the ones I had to do in 30B, with over a dozen of steps compared to 5-6 max in 30B.","Spring 2019","B+"
"Patrick G Harran","CHEM 30A","Organic Chemistry I: Structure and Reactivity","CHEM","stem",3,1.8,2.5,3,2.5,0.063,0.211,0.031,0.055,0.352,0.047,0.055,0.109,0.039,0,0.031,0,0.008,3.0169,"Professor Harran is a great guy. He tries to make his lectures fun and attempts to connect with real world topics. He is a master at what he teaches, and often surrounds himself with friends that have great accolades in the field as well. BUT, at the end of the day it is OCHEM after all. This class is not easy, it is very demanding, professor is not demanding, the class is. Since there's no HW or any BS points, its just 2 tests and a final. So basically u have to get your sh*t together if u want to succeed. Class is curved, but that doesn't mean you can stop putting the effort in. The class averages were definitely scary every time.","Fall 2022","B+"
"Hung V Pham","CHEM 30A","Organic Chemistry I: Structure and Reactivity","CHEM","stem",4.3,2.9,4.5,3.4,4.4,0.1315,0.2655,0.1555,0.068,0.0635,0.073,0.0565,0.0525,0.0375,0.053,0.027,0.013,0.0035,3.17905,"OVERVIEW: Simply put, Pham is amazing. If you have the opportunity to take this class with him, he will make the introduction to organic chemistry as easy as it can. A fair warning: this class is not easy. Pham is an engaging and clear lecturer, and the class is set up to be as accessible as possible to help you learn best. He is extremely friendly, willing to help, and isn't boring: he has tons of personality, so go to office hours!","Spring 2021","A"
"Amber J Reilly","CHEM 30A","Organic Chemistry I: Structure and Reactivity","CHEM","stem",4.2,2.4,4.3,3.8,4.4,0.0312,0.2072,0.1586,0.1304,0.117,0.1018,0.0828,0.0662,0.062,0.0144,0.015,0.0082,0.0048,3.0643,"Professor Reilly is the best professor I've had during my time at UCLA. If you have the opportunity to take this class with her, I would 100% recommend it. I would take her class again in a heartbeat. She really cares about her students and has been very accommodating during the pandemic. She holds office hours after class and during the weekend. We had 3 different types of assessment -- 5 Take-Home Assessments, 5 In-Class Assessments, 6 BACON. Take-Home Assessments were completion and she held workshops after they were due to go over each problem. In-Class Assessments were completed in 1 hour during class time. These were pretty challenging, but as I adapted to her testing/teaching method, it became easier over time.  BACON worked to integrate our course materials with real-life, and although these were not for completion, they were very easy and took only 20 minutes. She also shows us pictures of her dog Kasey, who is absolutely adorable, during lecture.  She gave numerous extra credit assignments including completing evaluations and memes/drawing.","Fall 2020","B+"
"Paul Weiss","CHEM 20BH","Chemical Energetics and Change (Honors)","CHEM","stem",4,3.5,3.8,2.5,4,0.121,0.739,0.0502,0.0144,0.0648,0.0052,0,0.0052,0,0,0,0,0,3.8921,"Weiss is super self-absorbed. He spends most of the class bragging about himself and his famous friends. He also likes to give snippets of advice that he thinks are super helpful but are usually just self-aggrandizing anecdotes that don't have practical applications to students' lives. It's not hard to do well in this class, but it is hard to sit through listening to him at lectures.","Winter 2019","A"
"Robert T Clubb","CHEM 153D","Introduction to Protein Structural Biology","CHEM","stem",4,2,3,3,3,0.0108333333333333,0.493833333333333,0.147833333333333,0.0713333333333333,0.1705,0.0428333333333333,0.0115,0.0313333333333333,0.0128333333333333,0,0.00666666666666667,0,0,3.5458,"Disclaimer: Took online during the COVID epidemic.","Spring 2020","A"
"Alfred D Bacher","CHEM 30BL","Organic Chemistry Laboratory I","CHEM","stem",2.8,1.5,2.5,1.3,3.3,0,0.16985,0.10305,0.1096,0.13255,0.12025,0.0935,0.08545,0.06785,0.00115,0.08945,0,0.0275,2.73693,"1. Go for office hours, don't be scared to ask him questions no matter how mean he can be sometimes2. Do the final practices3. Good luck!!","Fall 2015","A"
"Jacquelin Kammeyer","CHEM 30BL","Organic Chemistry Laboratory I","CHEM","stem",4.7,3.2,5,3,4.9,0.0576,0.1634,0.2248,0.2742,0.1498,0.053,0.0412,0.0312,0.0022,0.0022,0,0,0,3.37688,"This is a review of Dr. Amber Reilly. This professor mentioned here retired and Reilly took her place. Dr. Reilly is an extremely, extremely, EXTREMELY (did I say extremely?) good professor who definitely cares about her students. Go to her outside of office hours (anytime she's in her office), and she will welcome you with open arms, trying to help with your problems.   She also relates to her students very well, and going to office hours is almost like making a new friend. She's very sociable and knowledgable about the material.  Her lectures will be fun and she tells you EXACTLY what you need to know for the exam and EXACTLY what is supplementary material.","Spring 2018","A"
"Daniel Nasrallah","CHEM 30BL","Organic Chemistry Laboratory I","CHEM","stem",4.2,3.5,4.3,3.1,4.4,0.0975,0.4415,0.210333333333333,0.1245,0.0821666666666667,0.0163333333333333,0.0161666666666667,0.0065,0.00166666666666667,0,0,0,0.00366666666666667,3.6887,"Syllabus Breakdown:Lecture Quizzes - 10%Prelab Assignments - 15%Participation/Attendance - 10%Postlab Assignments - 25%Final In-Class Presentation - 15%Final Exam - 25%","Spring 2022","B"
